"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","RDataClass","DispatchClass","Location_Prefix","RDataPath","Tags","Maintainer"
"ENCODE rE2G activated_T_helper_1_cell_ENCFF881UNU","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_T_helper_1_cell_ENCFF881UNU_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G activated_T_cell_ENCFF458THA","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_T_cell_ENCFF458THA_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G CD8_positive_and_alpha_beta_memory_T_cell_ENCFF545XMM","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/CD8_positive_and_alpha_beta_memory_T_cell_ENCFF545XMM_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G B_cell_ENCFF301UGZ","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/B_cell_ENCFF301UGZ_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G activated_T_cell_ENCFF071HFX","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_T_cell_ENCFF071HFX_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G activated_T_cell_ENCFF984AIB","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_T_cell_ENCFF984AIB_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G stimulated_activated_naive_CD8_positive_and_alpha_beta_T_cell_ENCFF728HSS","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/stimulated_activated_naive_CD8_positive_and_alpha_beta_T_cell_ENCFF728HSS_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G suppressor_macrophage_ENCFF087NBA","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/suppressor_macrophage_ENCFF087NBA_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G activated_T_cell_ENCFF878UPA","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_T_cell_ENCFF878UPA_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G activated_CD8_positive_and_naive_alpha_beta_T_cell_ENCFF860OEA","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_CD8_positive_and_naive_alpha_beta_T_cell_ENCFF860OEA_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G activated_T_helper_9_cell_ENCFF646DTH","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_T_helper_9_cell_ENCFF646DTH_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G CD4_positive_and_alpha_beta_T_cell_ENCFF156JFE","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/CD4_positive_and_alpha_beta_T_cell_ENCFF156JFE_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G activated_CD4_positive_and_alpha_beta_memory_T_cell_ENCFF913LUF","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_CD4_positive_and_alpha_beta_memory_T_cell_ENCFF913LUF_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G activated_effector_memory_CD4_positive_and_alpha_beta_T_cell_ENCFF943QYF","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_effector_memory_CD4_positive_and_alpha_beta_T_cell_ENCFF943QYF_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G activated_T_cell_ENCFF963XEU","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_T_cell_ENCFF963XEU_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G activated_T_cell_ENCFF878SSA","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_T_cell_ENCFF878SSA_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G CD4_positive_and_alpha_beta_memory_T_cell_ENCFF753WSZ","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/CD4_positive_and_alpha_beta_memory_T_cell_ENCFF753WSZ_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G activated_CD4_positive_and_naive_alpha_beta_T_cell_ENCFF820YRW","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_CD4_positive_and_naive_alpha_beta_T_cell_ENCFF820YRW_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G effector_memory_CD8_positive_and_alpha_beta_T_cell_ENCFF697BVY","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/effector_memory_CD8_positive_and_alpha_beta_T_cell_ENCFF697BVY_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G effector_CD4_positive_and_alpha_beta_T_cell_ENCFF593BYK","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/effector_CD4_positive_and_alpha_beta_T_cell_ENCFF593BYK_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G naive_thymus_derived_CD4_positive_and_alpha_beta_T_cell_ENCFF291ZRF","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/naive_thymus_derived_CD4_positive_and_alpha_beta_T_cell_ENCFF291ZRF_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G stimulated_activated_effector_memory_CD8_positive_and_alpha_beta_T_cell_ENCFF977KWG","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/stimulated_activated_effector_memory_CD8_positive_and_alpha_beta_T_cell_ENCFF977KWG_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G stimulated_activated_naive_CD4_positive_and_alpha_beta_T_cell_ENCFF667CPD","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/stimulated_activated_naive_CD4_positive_and_alpha_beta_T_cell_ENCFF667CPD_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G natural_killer_cell_ENCFF113WTT","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/natural_killer_cell_ENCFF113WTT_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G activated_CD8_positive_and_alpha_beta_T_cell_ENCFF212MFC","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_CD8_positive_and_alpha_beta_T_cell_ENCFF212MFC_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G activated_T_cell_ENCFF527UVY","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_T_cell_ENCFF527UVY_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G activated_CD8_positive_and_alpha_beta_memory_T_cell_ENCFF394TRG","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_CD8_positive_and_alpha_beta_memory_T_cell_ENCFF394TRG_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G activated_T_helper_1_cell_ENCFF804BTE","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_T_helper_1_cell_ENCFF804BTE_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G activated_CD4_positive_and_alpha_beta_T_cell_ENCFF911ZDT","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_CD4_positive_and_alpha_beta_T_cell_ENCFF911ZDT_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G activated_gamma_delta_T_cell_ENCFF900JXI","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_gamma_delta_T_cell_ENCFF900JXI_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G effector_memory_CD4_positive_and_alpha_beta_T_cell_ENCFF445OMY","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/effector_memory_CD4_positive_and_alpha_beta_T_cell_ENCFF445OMY_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G naive_B_cell_ENCFF283NCL","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/naive_B_cell_ENCFF283NCL_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G memory_B_cell_ENCFF023QMI","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/memory_B_cell_ENCFF023QMI_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G activated_regulatory_T_cell_ENCFF281GMW","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_regulatory_T_cell_ENCFF281GMW_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G CD4_positive_and_CD25_positive_and_alpha_beta_regulatory_T_cell_ENCFF675EAJ","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/CD4_positive_and_CD25_positive_and_alpha_beta_regulatory_T_cell_ENCFF675EAJ_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G activated_T_cell_ENCFF144UWN","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_T_cell_ENCFF144UWN_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G activated_T_helper_1_cell_ENCFF353UFX","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_T_helper_1_cell_ENCFF353UFX_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G naive_thymus_derived_CD8_positive_and_alpha_beta_T_cell_ENCFF147DFB","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/naive_thymus_derived_CD8_positive_and_alpha_beta_T_cell_ENCFF147DFB_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G activated_T_helper_2_cell_ENCFF155VDC","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/activated_T_helper_2_cell_ENCFF155VDC_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G CD8_positive_and_alpha_beta_memory_T_cell_ENCFF713FNE","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/CD8_positive_and_alpha_beta_memory_T_cell_ENCFF713FNE_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G CD8_positive_and_alpha_beta_T_cell_ENCFF904ZEA","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/CD8_positive_and_alpha_beta_T_cell_ENCFF904ZEA_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G CD14_positive_monocyte_ENCFF789IHU","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/CD14_positive_monocyte_ENCFF789IHU_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G central_memory_CD4_positive_and_alpha_beta_T_cell_ENCFF676TYG","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/central_memory_CD4_positive_and_alpha_beta_T_cell_ENCFF676TYG_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G stimulated_activated_CD8_positive_and_alpha_beta_memory_T_cell_ENCFF403AVZ","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/stimulated_activated_CD8_positive_and_alpha_beta_memory_T_cell_ENCFF403AVZ_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G stimulated_activated_CD8_positive_and_alpha_beta_T_cell_ENCFF676JPP","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/stimulated_activated_CD8_positive_and_alpha_beta_T_cell_ENCFF676JPP_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G T_helper_9_cell_ENCFF116MMF","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/T_helper_9_cell_ENCFF116MMF_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G central_memory_CD8_positive_and_alpha_beta_T_cell_ENCFF269WSY","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/central_memory_CD8_positive_and_alpha_beta_T_cell_ENCFF269WSY_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G T_helper_1_cell_ENCFF962RZB","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/T_helper_1_cell_ENCFF962RZB_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G inflammatory_macrophage_ENCFF463AGD","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/inflammatory_macrophage_ENCFF463AGD_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G T_helper_22_cell_ENCFF109SPE","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/17191614","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/17191614/files/T_helper_22_cell_ENCFF109SPE_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
